Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto
VEHICULOS,10/04/2024,8704315100,2013,TOYOTA,RAV4 XLE AWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,1.0,85638.66,10276.64,
TECUN UMAN,09/04/2024,8703236911,2016,MAZDA,CX-3 GRAND TOURING AWD,2000.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,32642.92,3917.15,
TECUN UMAN,08/04/2024,8716390000,2018,CARGO CRAFT,CAR MATE,0.0,PESADO,REMOLQUE,OCASIONAL,OTROS,0,3,15.0,19968.78,2396.25,
TECUN UMAN,08/04/2024,8703237911,2004,HONDA,CR-V EX 4WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,18529.25,2223.51,
SANTO TOMAS DE CASTILLA,08/04/2024,8703249190,2009,HONDA,PILOT LX 4WD,3500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,8,4,0.0,12707.77,1524.93,
SANTO TOMAS DE CASTILLA,08/04/2024,8703237911,2015,TOYOTA,RAV4 XLE AWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,46308.73,5557.05,
TECUN UMAN,09/04/2024,8703237991,2019,MAZDA,CX-5 TOURING 2WD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,63861.18,7663.34,
SANTO TOMAS DE CASTILLA,08/04/2024,8703236991,2014,SCION,XD,1800.0,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0.0,15254.44,1830.53,
TECUN UMAN,09/04/2024,8703226991,2016,HONDA,FIT LX,1500.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,33601.19,4032.14,
SANTO TOMAS DE CASTILLA,08/04/2024,8703237911,2006,HONDA,CR-V LX 4WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,11726.54,1407.18,
EL CARMEN,09/04/2024,8704316900,1994,INTERNATIONAL,4600,7300.0,PESADO,CAMION FURGON,OCASIONAL,DIESEL,3,2,5.0,29739.08,3568.69,
SANTO TOMAS DE CASTILLA,09/04/2024,8703247000,2016,JEEP,WRANGLER SPORT 4X4,3600.0,LIVIANO,JEEP,OCASIONAL,GASOLINA,4,3,0.0,51886.29,6226.35,
